stress_x,stress_y
535,-53.8
535.5,-53.8
536,-53.8
536.5,-53.8
537,-53.81
537.5,-53.81
538,-53.81
538.5,-53.81
539,-53.81
539.5,-53.82
540,-53.82
540.5,-53.82
541,-53.82
541.5,-53.83
542,-53.83
542.5,-53.83
543,-53.83
543.5,-53.83
544,-53.84
544.5,-53.84
545,-53.84
545.5,-53.84
546,-53.84
546.5,-53.85
547,-53.85
547.5,-53.85
548,-53.85
548.5,-53.85
549,-53.86
549.5,-53.86
550,-53.86
550.5,-53.86
551,-53.86
551.5,-53.86
552,-53.87
552.5,-53.87
553,-53.87
553.5,-53.87
554,-53.87
554.5,-53.87
555,-53.88
555.5,-53.88
556,-53.88
556.5,-53.88
557,-53.88
557.5,-53.88
558,-53.89
558.5,-53.89
559,-53.89
559.5,-53.89
560,-53.89
560.5,-53.89
561,-53.89
561.5,-53.9
562,-53.9
562.5,-53.9
563,-53.9
563.5,-53.9
564,-53.9
564.5,-53.9
565,-53.9
565.5,-53.91
566,-53.91
566.5,-53.91
567,-53.91
567.5,-53.91
568,-53.91
568.5,-53.91
569,-53.91
569.5,-53.92
570,-53.92
570.5,-53.92
571,-53.92
571.5,-53.92
572,-53.92
572.5,-53.92
573,-53.92
573.5,-53.92
574,-53.93
574.5,-53.93
575,-53.93
575.5,-53.93
576,-53.93
576.5,-53.93
577,-53.93
577.5,-53.93
578,-53.93
578.5,-53.93
579,-53.93
579.5,-53.94
580,-53.94
580.5,-53.94
581,-53.94
581.5,-53.94
582,-53.94
582.5,-53.94
583,-53.94
583.5,-53.94
584,-53.94
584.5,-53.94
585,-53.95
585.5,-53.95
586,-53.95
586.5,-53.95
587,-53.95
587.5,-53.95
588,-53.95
588.5,-53.95
589,-53.95
589.5,-53.95
590,-53.95
590.5,-53.95
591,-53.95
591.5,-53.95
592,-53.96
592.5,-53.96
593,-53.96
593.5,-53.96
594,-53.96
594.5,-53.96
595,-53.96
595.5,-53.96
596,-53.96
596.5,-53.96
597,-53.96
597.5,-53.96
598,-53.96
598.5,-53.96
599,-53.96
599.5,-53.96
600,-53.97
600.5,-53.97
601,-53.97
601.5,-53.97
602,-53.97
602.5,-53.97
603,-53.97
603.5,-53.97
604,-53.97
604.5,-53.97
605,-53.97
605.5,-53.97
606,-53.97
606.5,-53.97
607,-53.97
607.5,-53.97
608,-53.97
608.5,-53.97
609,-53.97
609.5,-53.97
610,-53.98
610.5,-53.98
611,-53.98
611.5,-53.98
612,-53.98
612.5,-53.98
613,-53.98
613.5,-53.98
614,-53.98
614.5,-53.98
615,-53.98
615.5,-53.98
616,-53.98
616.5,-53.98
617,-53.98
617.5,-53.98
618,-53.98
618.5,-53.98
619,-53.98
619.5,-53.98
620,-53.98
620.5,-53.98
621,-53.98
621.5,-53.98
622,-53.98
622.5,-53.98
623,-53.99
623.5,-53.99
624,-53.99
624.5,-53.99
625,-53.99
625.5,-53.99
626,-53.99
626.5,-53.99
627,-53.99
627.5,-53.99
